[ 2026-04-12 01:37:34,291 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-12 01:37:37,803 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-12 01:37:37,803 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-12 01:37:37,804 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-12 01:37:37,927 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-12 01:37:37,928 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-12 01:37:37,986 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-12 01:37:38,049 ] 32 root - INFO - Required number of columns:2
[ 2026-04-12 01:37:38,050 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-12 01:37:38,050 ] 32 root - INFO - Required number of columns:2
[ 2026-04-12 01:37:38,050 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-12 01:37:38,492 ] 28 root - INFO - data Validation Completed
[ 2026-04-12 01:37:38,493 ] 31 root - INFO - data Transformation started
[ 2026-04-12 01:37:38,494 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-12 01:37:38,494 ] 65 root - INFO - Starting data transformation
[ 2026-04-12 01:37:38,557 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-12 01:37:38,557 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-12 01:37:38,603 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-12 01:37:38,612 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-12 01:37:38,630 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-12 01:37:38,657 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-12 01:37:38,674 ] 35 root - INFO - data Transformation completed
[ 2026-04-12 01:37:38,675 ] 37 root - INFO - Model Training sstared
