[ 2026-04-07 16:38:47,949 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-07 16:38:49,764 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-07 16:38:49,764 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-07 16:38:49,765 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-07 16:38:49,801 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-07 16:38:49,802 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-07 16:38:49,808 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-07 16:38:49,830 ] 32 root - INFO - Required number of columns:2
[ 2026-04-07 16:38:49,830 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-07 16:38:49,830 ] 32 root - INFO - Required number of columns:2
[ 2026-04-07 16:38:49,830 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-07 16:38:49,939 ] 28 root - INFO - data Validation Completed
[ 2026-04-07 16:38:49,940 ] 31 root - INFO - data Transformation started
[ 2026-04-07 16:38:49,940 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-07 16:38:49,940 ] 65 root - INFO - Starting data transformation
[ 2026-04-07 16:38:49,959 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-07 16:38:49,959 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-07 16:38:50,008 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-07 16:38:50,011 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-07 16:38:50,011 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-07 16:38:50,013 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-07 16:38:50,015 ] 35 root - INFO - data Transformation completed
[ 2026-04-07 16:38:50,015 ] 37 root - INFO - Model Training sstared
