[ 2026-04-12 01:59:16,229 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-12 01:59:18,492 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-12 01:59:18,492 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-12 01:59:18,493 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-12 01:59:18,533 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-12 01:59:18,533 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-12 01:59:18,538 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-12 01:59:18,556 ] 32 root - INFO - Required number of columns:2
[ 2026-04-12 01:59:18,557 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-12 01:59:18,557 ] 32 root - INFO - Required number of columns:2
[ 2026-04-12 01:59:18,557 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-12 01:59:18,667 ] 28 root - INFO - data Validation Completed
[ 2026-04-12 01:59:18,667 ] 31 root - INFO - data Transformation started
[ 2026-04-12 01:59:18,667 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-12 01:59:18,667 ] 65 root - INFO - Starting data transformation
[ 2026-04-12 01:59:18,686 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-12 01:59:18,686 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-12 01:59:18,697 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-12 01:59:18,699 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-12 01:59:18,699 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-12 01:59:18,702 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-12 01:59:18,703 ] 35 root - INFO - data Transformation completed
[ 2026-04-12 01:59:18,704 ] 37 root - INFO - Model Training sstared
[ 2026-04-12 02:04:11,355 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-12 02:04:11,355 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-12 02:04:11,356 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-12 02:04:11,372 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-12 02:04:11,373 ] 153 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_12_2026_01_59_14\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991742195367573, precision_score=0.989748743718593, recall_score=0.9937436932391523), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9720164609053498, precision_score=0.9617263843648208, recall_score=0.9825291181364393))
[ 2026-04-12 02:04:11,374 ] 42 root - INFO - Model Training artifact created
